Release 8.1i - Fit I.31
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 8-10-2015  3:51AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  adtransfer.ngd
output file: adtransfer_pad.csv
Part type:   xa2c256
Speed grade: -7
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,B<3>,O,I/O/GTS2,OUTPUT,LVCMOS18,2,,FAST,,,,
P2,B<0>,O,I/O/GTS3,OUTPUT,LVCMOS18,2,,FAST,,,,
P3,date<0>,I,I/O/GTS0,INPUT,LVCMOS18,2,,FAST,,,,
P4,date<1>,I,I/O/GTS1,INPUT,LVCMOS18,2,,FAST,,,,
P5,,VCCAUX,VAUX,,,,,,,,,,
P6,date<2>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P7,date<3>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P8,h3<0>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P9,h3<1>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P10,B<11>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P11,KPR,,I/O,,,2,,,,,,,
P12,KPR,,I/O,,,2,,,,,,,
P13,KPR,,I/O,,,2,,,,,,,
P14,KPR,,I/O,,,1,,,,,,,
P15,KPR,,I/O,,,1,,,,,,,
P16,KPR,,I/O,,,1,,,,,,,
P17,KPR,,I/O,,,1,,,,,,,
P18,KPR,,I/O,,,1,,,,,,,
P19,KPR,,I/O,,,1,,,,,,,
P20,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,B<2>,O,I/O/GCK0,OUTPUT,LVCMOS18,1,,FAST,,,,
P23,B<1>,O,I/O/GCK1,OUTPUT,LVCMOS18,1,,FAST,,,,
P24,KPR,,I/O/CDR,,,1,,,,,,,
P25,GND,,GND,,,,,,,,,,
